['Book/name', 'isbn', 'IdentifierAT']
['Book/name', 'datePublished', 'Date']
['Book/name', 'bookFormat', 'BookFormatType']
['Book/name', 'review', 'Review']
['Book/name', 'publisher', 'Organization']
['Book/name', 'numberOfPages', 'Number']
['Book/name', 'genre', '?genre']
['Book/name', 'text', '?text']
['Book/name', 'priceCurrency', 'currency']
['Book/name', 'inLanguage', 'Language']
['Book/name', 'worstRating', 'Number']
['Book/name', 'bookEdition', '?bookEdition']
['Book/name', 'price', 'price']
['Book/name', 'url', 'URL']
['Book/name', 'ratingValue', 'Number']
['Book/name', 'headline', '?headline']
['Book/name', 'description', 'Book/description']
['Book/name', 'copyrightYear', 'Number']
['Book/name', 'author', 'Person/name']
['Book/name', 'availability', 'ItemAvailability']
['Book/name', 'image', 'URL']
['Book/name', 'bestRating', 'Number']
['Book/name', 'itemCondition', 'OfferItemCondition']
['Event/name', 'performer', 'Organization']
['Event/name', 'startDate', 'DateTime']
['Event/name', 'email', 'email']
['Event/name', 'priceCurrency', 'currency']
['Event/name', 'category', 'category']
['Event/name', 'location', 'Place/name']
['Event/name', 'price', 'price']
['Event/name', 'streetAddress', 'streetAddress']
['Event/name', 'validThrough', 'DateTime']
['Event/name', 'telephone', 'telephone']
['Event/name', 'addressLocality', 'addressLocality']
['Event/name', 'url', 'URL']
['Event/name', 'ratingValue', 'Number']
['Event/name', 'description', 'Event/description']
['Event/name', 'address', 'PostalAddress']
['Event/name', 'validFrom', 'DateTime']
['Event/name', 'duration', 'Duration']
['Event/name', 'endDate', 'DateTime']
['Event/name', 'eventAttendanceMode', 'EventAttendanceModeEnumeration']
['Event/name', 'organizer', 'Organization']
['Event/name', 'eventStatus', 'EventStatusType']
['Event/name', 'availability', 'ItemAvailability']
['Event/name', 'image', 'URL']
['Event/name', '??Boolean', 'Boolean']
['Event/name', '??IdentifierAT', 'IdentifierAT']
['Event/name', 'inLanguage', 'Language']
['Event/name', '??Person/name', 'Person/name']
['Event/name', '??doorTime', 'Time']
['Event/name', 'addressRegion', 'addressRegion']
['LocalBusiness/name', 'faxNumber', 'faxNumber']
['LocalBusiness/name', 'brand', 'Brand']
['LocalBusiness/name', 'review', 'Review']
['LocalBusiness/name', 'opens', 'Time']
['LocalBusiness/name', 'latitude', 'CoordinateAT']
['LocalBusiness/name', 'email', 'email']
['LocalBusiness/name', 'worstRating', 'Number']
['LocalBusiness/name', 'currenciesAccepted', 'currency']
['LocalBusiness/name', 'streetAddress', 'streetAddress']
['LocalBusiness/name', 'telephone', 'telephone']
['LocalBusiness/name', 'addressLocality', 'addressLocality']
['LocalBusiness/name', 'ratingValue', 'Number']
['LocalBusiness/name', 'url', 'URL']
['LocalBusiness/name', 'dayOfWeek', 'DayOfWeek']
['LocalBusiness/name', 'address', 'PostalAddress']
